Protein 1	Protein 2	Integrated score	evidence: Protein co-expression	evidence: Co-dependence	evidence: Sequence similarity	evidence: Physical	evidence: mRNA co-expression	edge_role
MRPL49	MRPS6	0.445	0.438	0.584	0.007	0.118	0.147	core
MRPL49	MRPS7	0.62	0.535	0.51	0.006	0.296	0.31	core
MRPL49	MRPS9	0.519	0.476	0.491	0.143	0.356	0.228	core
MRPL49	MRPS10	0.582	0.48	0.544	0.166	0.253	0.281	core
MRPL49	MRPS11	0.538	0.431	0.663	0.003	0.166	0.334	core
MRPL49	MRPS12	0.426	0.399	0.534	0.013	0.067	0.281	core
MRPL49	MRPS14	0.478	0.361	0.561	0.078	0.218	0.303	core
MRPL49	MRPS15	0.447	0.441	0.437	0.203	0.158	0.335	core
MRPL49	MRPS16	0.541	0.456	0.591	0.006	0.155	0.353	core
MRPL49	MRPS17	0.416	0.369	0.471	0.002	0.133	0.26	core
MRPL49	MRPS18A	0.694	0.561	0.503	0.011	0.59	0.333	core
MRPL49	MRPS18B	0.579	0.48	0.602	0.129	0.16	0.332	core
MRPL49	MRPS18C	0.496	0.463	0.564	0.071	0.066	0.364	core
MRPL49	MRPS21	0.418	0.348	0.52	0.013	0.123	0.266	core
MRPL49	MRPS22	0.582	0.494	0.573	0.125	0.148	0.282	core
MRPL49	MRPS23	0.626	0.51	0.75	0.108	0.164	0.266	core
MRPL49	MRPS24	0.444	0.393	0.576	0.084	0.065	0.262	core
MRPL49	MRPS25	0.476	0.484	0.495	0.176	0.157	0.151	core
MRPL49	MRPS26	0.525	0.472	0.581	0.09	0.12	0.27	core
MRPL49	MRPS27	0.417	0.433	0.433	0.01	0.161	0.319	core
MRPL49	MRPS28	0.463	0.431	0.545	0.08	0.064	0.262	core
MRPL49	MRPS30	0.712	0.525	0.49	0.01	0.543	0.183	core
MRPL49	MRPS31	0.55	0.474	0.649	0.003	0.205	0.236	core
MRPL49	MRPS33	0.316	0.431	0.051	0.011	0.159	0.302	core
MRPL49	MRPS34	0.464	0.44	0.495	0.115	0.17	0.242	core
MRPL49	MRPS35	0.601	0.498	0.528	0.005	0.179	0.309	core
MRPL49	MT-ATP6	0.4	0.401	0.012	0.012	0.028	0.303	core
MRPL49	MT-CO2	0.477	0.437	0.011	0.197	0.064	0.211	core
MRPL49	MT-ND1	0.388	0.384	0.003	0.008	0.046	0.237	core
MRPL49	MTERF3	0.392	0.435	0.537	0.013	0.386	0.205	core
MRPL49	MTERF4	0.444	0.416	0.525	0.003	0.065	0.227	core
MRPL49	MTFMT	0.339	0.286	0.449	0.036	0.042	0.255	core
MRPL49	MTG1	0.437	0.445	0.514	0.009	0.058	0.277	core
MRPL49	MTG2	0.425	0.292	0.557	0.014	0.058	0.206	core
MRPL49	MTIF2	0.391	0.472	0.461	0.008	0.064	0.214	core
MRPL49	MTPAP	0.315	0.188	0.518	0.002	0.128	0.173	core
MRPL49	MTRF1L	0.31	0.148	0.481	0.002	0.055	0.129	core
MRPL49	NARS2	0.385	0.449	0.46	0.211	0.051	0.246	core
MRPL49	NDUFA2	0.419	0.261	0.526	0.075	0.133	0.397	core
MRPL49	NDUFA3	0.433	0.433	0.46	0.107	0.115	0.291	core
MRPL49	NDUFA4	0.362	0.362	0.43	0.224	0.062	0.313	core
MRPL49	NDUFA5	0.419	0.433	0.454	0.167	0.127	0.186	core
MRPL49	NDUFA6	0.408	0.26	0.519	0.002	0.14	0.308	core
MRPL49	NDUFA8	0.445	0.328	0.546	0.184	0.115	0.27	core
MRPL49	NDUFA9	0.327	0.388	0.422	0.086	0.133	0.295	core
MRPL49	NDUFA10	0.416	0.333	0.527	0.01	0.132	0.246	core
MRPL49	NDUFA11	0.439	0.289	0.535	0.002	0.028	0.365	core
MRPL49	NDUFA13	0.356	0.295	0.44	0.009	0.112	0.338	core
MRPL49	NDUFAB1	0.314	0.463	0.075	0.179	0.065	0.349	core
MRPL49	NDUFAF1	0.392	0.345	0.522	0.077	0.135	0.174	core
MRPL49	NDUFAF3	0.436	0.477	0.542	0.073	0.003	0.195	core
MRPL49	NDUFAF4	0.366	0.469	0.475	0.005	0.064	0.16	core
MRPL49	NDUFAF5	0.451	0.447	0.501	0.01	0.056	0.306	core
MRPL49	NDUFAF6	0.351	0.346	0.462	0.004	0.064	0.224	core
MRPL49	NDUFAF7	0.315	0.248	0.473	0.086	0.062	0.153	core
MRPL49	NDUFB2	0.346	0.002	0.552	0.009	0.004	0.255	core
MRPL49	NDUFB3	0.352	0.302	0.443	0.003	0.06	0.314	core
MRPL49	NDUFB4	0.421	0.274	0.531	0.007	0.129	0.252	core
MRPL49	NDUFB5	0.418	0.321	0.523	0.122	0.118	0.316	core
MRPL49	NDUFB6	0.393	0.215	0.522	0.012	0.125	0.378	core
MRPL49	NDUFB7	0.389	0.265	0.497	0.121	0.131	0.325	core
MRPL49	NDUFB8	0.323	0.148	0.505	0.158	0.119	0.298	core
MRPL49	NDUFB9	0.417	0.294	0.499	0.149	0.062	0.32	core
MRPL49	NDUFB10	0.427	0.361	0.51	0.007	0.062	0.325	core
MRPL49	NDUFC2	0.421	0.319	0.562	0.078	0.049	0.274	core
MRPL49	NDUFS1	0.378	0.298	0.457	0.006	0.123	0.212	core
MRPL49	NDUFS2	0.518	0.476	0.575	0.005	0.122	0.223	core
MRPL49	NDUFS3	0.434	0.416	0.516	0.011	0.124	0.378	core
MRPL49	NDUFS5	0.479	0.419	0.555	0.012	0.121	0.287	core
MRPL49	NDUFS7	0.338	0.4	0.467	0.006	0.064	0.138	core
MRPL49	NDUFS8	0.459	0.462	0.528	0.012	0.123	0.309	core
MRPL49	NDUFV1	0.352	0.387	0.428	0.098	0.134	0.296	core
MRPL49	NDUFV2	0.4	0.336	0.504	0.009	0.121	0.261	core
MRPL49	NGRN	0.56	0.161	0.501	0.036	0.507	0.189	core
MRPL49	NHP2	0.335	0.356	0.4	0.17	0.13	0.335	core
MRPL49	NOA1	0.342	0.217	0.483	0.005	0.047	0.212	core
MRPL49	NSUN4	0.382	0.409	0.45	0.011	0.101	0.209	core
MRPL49	OXA1L	0.338	0.432	0.329	0.108	0.065	0.232	core
MRPL49	OXSM	0.312	0.394	0.394	0.12	0.121	0.257	core
MRPL49	PARS2	0.402	0.347	0.508	0.036	0.04	0.22	core
MRPL49	PDE12	0.309	0.196	0.483	0.036	0.062	0.255	core
MRPL49	PDHX	0.3	0.43	0.085	0.086	0.125	0.263	core
MRPL49	PDSS1	0.359	0.202	0.479	0.23	0.057	0.196	core
MRPL49	PDSS2	0.338	0.145	0.497	0.124	0.053	0.277	core
MRPL49	PMPCB	0.364	0.471	0.361	0.005	0.048	0.249	core
MRPL49	PNPT1	0.388	0.439	0.501	0.012	0.068	0.215	core
MRPL49	POLG	0.39	0.229	0.521	0.086	0.098	0.221	core
MRPL49	PPA2	0.363	0.386	0.431	0.006	0.094	0.304	core
MRPL49	PTCD1	0.593	0.04	0.552	0.078	0.485	0.244	core
MRPL49	PTCD3	0.525	0.461	0.54	0.006	0.227	0.202	core
MRPL49	PUS1	0.304	0.322	0.407	0.246	0.076	0.247	core
MRPL49	QRSL1	0.329	0.305	0.502	0.002	0.042	0.212	core
MRPL49	RARS2	0.437	0.314	0.559	0.086	0.106	0.233	core
MRPL49	RBFA	0.369	0.363	0.468	0.036	0.065	0.275	core
MRPL49	RCC1L	0.554	0.377	0.483	0.036	0.477	0.137	core
MRPL49	ROMO1	0.436	0.38	0.436	0.004	0.044	0.374	core
MRPL49	RPL38	0.391	0.155	0.021	0.01	0.431	0.296	core
MRPL49	RPS8	0.303	0.132	0.223	0.233	0.428	0.274	core
MRPL49	RPUSD3	0.353	0.232	0.546	0.036	0.406	0.216	core
MRPL49	RPUSD4	0.408	0.165	0.611	0.036	0.108	0.259	core
MRPL49	RTN4IP1	0.408	0.422	0.461	0.079	0.102	0.175	core
MRPL49	SARS2	0.322	0.312	0.504	0.257	0.057	0.176	core
MRPL49	SCO1	0.352	0.249	0.525	0.074	0.062	0.313	core
MRPL49	SDHB	0.32	0.368	0.391	0.139	0.054	0.292	core
MRPL49	SDHD	0.364	0.291	0.453	0.007	0.025	0.268	core
MRPL49	SLC25A10	0.308	0.304	0.24	0.006	0.433	0.27	core
MRPL49	SLC25A26	0.327	0.001	0.47	0.1	0.048	0.226	core
MRPL49	SLC30A9	0.368	0.28	0.473	0.009	0.046	0.235	core
MRPL49	SSBP1	0.409	0.453	0.471	0.002	0.062	0.286	core
MRPL49	SUPV3L1	0.338	0.328	0.493	0.091	0.066	0.219	core
MRPL49	SURF1	0.363	0.275	0.45	0.001	0.043	0.331	core
MRPL49	TEFM	0.305	0.163	0.46	0.17	0.13	0.278	core
MRPL49	TFAM	0.448	0.353	0.584	0.128	0.062	0.296	core
MRPL49	TFB1M	0.352	0.319	0.5	0.006	0.323	0.188	core
MRPL49	TFB2M	0.401	0.396	0.463	0.09	0.103	0.267	core
MRPL49	TIMM23	0.339	0.3	0.123	0.013	0.067	0.251	core
MRPL49	TIMM44	0.311	0.442	0.217	0.094	0.061	0.245	core
MRPL49	TIMMDC1	0.329	0.193	0.496	0.004	0.075	0.279	core
MRPL49	TOMM22	0.365	0.489	0.029	0.011	0.068	0.326	core
MRPL49	TOMM40	0.338	0.466	0.361	0.095	0.094	0.238	core
MRPL49	TOMM70	0.347	0.315	0.462	0.077	0.001	0.153	core
MRPL49	TRMT10C	0.399	0.341	0.504	0.128	0.103	0.232	core
MRPL49	TRUB2	0.44	0.455	0.483	0.077	0.409	0.317	core
MRPL49	TSFM	0.339	0.326	0.468	0.106	0.065	0.254	core
MRPL49	TUFM	0.426	0.5	0.423	0.002	0.134	0.242	core
MRPL49	TXN2	0.4	0.398	0.463	0.154	0.065	0.306	core
MRPL49	UQCC1	0.312	0.366	0.417	0.016	0.055	0.198	core
MRPL49	UQCC2	0.448	0.476	0.469	0.015	0.056	0.322	core
MRPL49	UQCC3	0.365	0.299	0.472	0.013	0.049	0.238	core
MRPL49	UQCR10	0.387	0.328	0.505	0.086	0.076	0.331	core
MRPL49	UQCRB	0.336	0.4	0.482	0.083	0.065	0.138	core
MRPL49	UQCRC1	0.465	0.451	0.5	0.074	0.154	0.225	core
MRPL49	UQCRC2	0.472	0.464	0.502	0.222	0.162	0.301	core
MRPL49	UQCRFS1	0.423	0.384	0.513	0.2	0.159	0.223	core
MRPL49	UQCRQ	0.401	0.354	0.458	0.015	0.1	0.347	core
MRPL49	VARS2	0.375	0.438	0.483	0.036	0.058	0.159	core
MRPL49	WARS2	0.363	0.383	0.472	0.18	0.094	0.14	core
MRPL49	YARS2	0.504	0.413	0.517	0.003	0.437	0.251	core
MRPL50	MRPL51	0.705	0.494	0.473	0.088	0.537	0.324	core
MRPL50	MRPL52	0.661	0.433	0.017	0.074	0.552	0.289	core
MRPL50	MRPL53	0.667	0.555	0.507	0.126	0.537	0.215	core
MRPL50	MRPL54	0.681	0.518	0.484	0.102	0.46	0.306	core
MRPL50	MRPL55	0.717	0.541	0.489	0.016	0.539	0.174	core
MRPL50	MRPL57	0.593	0.508	0.508	0.013	0.48	0.229	core
MRPL50	MRPL58	0.691	0.536	0.474	0.003	0.587	0.254	core
MRPL50	MRPS2	0.394	0.34	0.476	0.004	0.176	0.354	core
MRPL50	MRPS5	0.478	0.426	0.512	0.007	0.177	0.3	core
MRPL50	MRPS6	0.371	0.383	0.514	0.002	0.404	0.162	core
MRPL50	MRPS7	0.541	0.474	0.481	0.074	0.178	0.294	core
MRPL50	MRPS9	0.403	0.402	0.506	0.088	0.367	0.357	core
MRPL50	MRPS10	0.537	0.466	0.487	0.083	0.196	0.31	core
MRPL50	MRPS11	0.488	0.432	0.544	0.086	0.162	0.294	core
MRPL50	MRPS12	0.401	0.263	0.521	0.003	0.067	0.285	core
MRPL50	MRPS14	0.386	0.269	0.491	0.007	0.169	0.323	core
MRPL50	MRPS16	0.443	0.403	0.5	0.238	0.159	0.315	core
MRPL50	MRPS17	0.384	0.341	0.457	0.005	0.159	0.327	core
MRPL50	MRPS18A	0.697	0.447	0.515	0.16	0.542	0.258	core
MRPL50	MRPS18B	0.418	0.388	0.487	0.015	0.154	0.287	core
MRPL50	MRPS18C	0.436	0.305	0.51	0.132	0.066	0.337	core
MRPL50	MRPS21	0.357	0.163	0.544	0.013	0.133	0.324	core
MRPL50	MRPS22	0.538	0.485	0.519	0.08	0.121	0.378	core
MRPL50	MRPS23	0.567	0.494	0.545	0.11	0.135	0.327	core
MRPL50	MRPS24	0.357	0.304	0.495	0.0	0.065	0.215	core
MRPL50	MRPS25	0.412	0.393	0.481	0.139	0.132	0.282	core
MRPL50	MRPS26	0.449	0.463	0.494	0.157	0.12	0.239	core
MRPL50	MRPS27	0.398	0.416	0.445	0.011	0.156	0.292	core
MRPL50	MRPS28	0.43	0.415	0.521	0.071	0.064	0.32	core
MRPL50	MRPS30	0.681	0.544	0.483	0.008	0.541	0.301	core
MRPL50	MRPS31	0.496	0.419	0.521	0.009	0.186	0.3	core
MRPL50	MRPS33	0.317	0.397	0.385	0.009	0.187	0.312	core
MRPL50	MRPS34	0.403	0.408	0.5	0.085	0.154	0.243	core
MRPL50	MRPS35	0.471	0.455	0.476	0.001	0.23	0.301	core
MRPL50	MRRF	0.315	0.378	0.391	0.21	0.076	0.346	core
MRPL50	MT-ATP6	0.328	0.219	0.003	0.129	0.028	0.341	core
MRPL50	MT-ATP8	0.312	0.126	0.012	0.077	0.046	0.419	core
MRPL50	MT-CYB	0.312	0.245	0.005	0.001	0.142	0.358	core
MRPL50	MT-ND2	0.348	0.128	0.005	0.01	0.048	0.421	core
MRPL50	MT-ND3	0.399	0.053	0.011	0.118	0.029	0.38	core
MRPL50	MTERF3	0.365	0.28	0.513	0.073	0.41	0.276	core
MRPL50	MTERF4	0.347	0.298	0.524	0.011	0.064	0.243	core
MRPL50	MTG1	0.417	0.418	0.531	0.003	0.056	0.217	core
MRPL50	MTG2	0.389	0.175	0.528	0.01	0.054	0.204	core
MRPL50	MTIF2	0.377	0.448	0.431	0.015	0.061	0.338	core
MRPL50	MTPAP	0.334	0.181	0.499	0.014	0.123	0.296	core
MRPL50	NARS2	0.328	0.282	0.422	0.115	0.049	0.264	core
MRPL50	NDUFA2	0.379	0.291	0.499	0.13	0.132	0.243	core
MRPL50	NDUFA3	0.409	0.4	0.47	0.0	0.118	0.256	core
MRPL50	NDUFA4	0.319	0.277	0.415	0.003	0.062	0.222	core
MRPL50	NDUFA5	0.437	0.444	0.446	0.121	0.141	0.287	core
MRPL50	NDUFA6	0.457	0.417	0.536	0.079	0.133	0.256	core
MRPL50	NDUFA8	0.409	0.249	0.556	0.113	0.123	0.376	core
MRPL50	NDUFA9	0.377	0.28	0.457	0.296	0.143	0.265	core
MRPL50	NDUFA10	0.351	0.307	0.498	0.009	0.127	0.208	core
MRPL50	NDUFA11	0.397	0.316	0.554	0.009	0.001	0.299	core
MRPL50	NDUFA13	0.343	0.242	0.458	0.119	0.12	0.301	core
MRPL50	NDUFAF1	0.38	0.285	0.519	0.103	0.138	0.192	core
MRPL50	NDUFAF2	0.316	0.436	0.32	0.002	0.093	0.302	core
MRPL50	NDUFAF3	0.384	0.456	0.535	0.127	0.002	0.154	core
MRPL50	NDUFAF4	0.431	0.425	0.493	0.076	0.065	0.363	core
MRPL50	NDUFAF5	0.388	0.419	0.489	0.002	0.057	0.239	core
MRPL50	NDUFAF6	0.325	0.251	0.454	0.006	0.064	0.258	core
MRPL50	NDUFAF7	0.333	0.299	0.485	0.182	0.058	0.267	core
MRPL50	NDUFB2	0.387	0.04	0.501	0.013	0.003	0.259	core
MRPL50	NDUFB3	0.383	0.29	0.479	0.012	0.06	0.315	core
MRPL50	NDUFB4	0.382	0.314	0.515	0.077	0.147	0.273	core
MRPL50	NDUFB5	0.381	0.273	0.493	0.006	0.128	0.315	core
MRPL50	NDUFB6	0.386	0.204	0.533	0.012	0.118	0.323	core
MRPL50	NDUFB7	0.333	0.217	0.493	0.072	0.133	0.292	core
MRPL50	NDUFB8	0.381	0.196	0.577	0.01	0.123	0.229	core
MRPL50	NDUFB9	0.416	0.335	0.553	0.003	0.062	0.255	core
MRPL50	NDUFB10	0.383	0.32	0.505	0.072	0.064	0.225	core
MRPL50	NDUFC1	0.325	0.049	0.51	0.109	0.003	0.208	core
MRPL50	NDUFC2	0.326	0.229	0.531	0.005	0.052	0.214	core
MRPL50	NDUFS1	0.378	0.364	0.502	0.008	0.108	0.269	core
MRPL50	NDUFS2	0.459	0.443	0.577	0.0	0.134	0.219	core
MRPL50	NDUFS3	0.537	0.496	0.522	0.1	0.108	0.275	core
MRPL50	NDUFS5	0.441	0.326	0.542	0.011	0.13	0.26	core
MRPL50	NDUFS7	0.345	0.33	0.455	0.015	0.062	0.239	core
MRPL50	NDUFS8	0.505	0.481	0.52	0.078	0.129	0.237	core
MRPL50	NDUFV2	0.439	0.443	0.502	0.015	0.12	0.265	core
MRPL50	NGRN	0.546	0.129	0.537	0.036	0.507	0.165	core
MRPL50	NSUN4	0.384	0.269	0.464	0.01	0.094	0.236	core
MRPL50	NUBPL	0.32	0.147	0.464	0.112	0.042	0.225	core
MRPL50	PARS2	0.301	0.327	0.457	0.036	0.041	0.223	core
MRPL50	PNPT1	0.404	0.439	0.477	0.001	0.067	0.316	core
MRPL50	POLG	0.338	0.255	0.475	0.008	0.099	0.193	core
MRPL50	POLG2	0.321	0.319	0.482	0.011	0.1	0.188	core
MRPL50	POLRMT	0.302	0.277	0.464	0.001	0.119	0.285	core
MRPL50	PTCD1	0.487	0.042	0.481	0.005	0.442	0.192	core
MRPL50	PTCD3	0.443	0.401	0.506	0.0	0.176	0.289	core
MRPL50	QRSL1	0.346	0.295	0.469	0.012	0.042	0.272	core
MRPL50	RARS2	0.404	0.284	0.494	0.007	0.106	0.272	core
MRPL50	RCC1L	0.537	0.317	0.473	0.036	0.466	0.12	core
MRPL50	RPL6	0.322	0.15	0.194	0.213	0.43	0.305	core
MRPL50	RPL10A	0.329	0.148	0.123	0.002	0.393	0.347	core
MRPL50	RPL31	0.302	0.137	0.1	0.138	0.15	0.404	core
MRPL50	RPL32	0.31	0.145	0.104	0.088	0.238	0.427	core
MRPL50	RPL34	0.318	0.188	0.142	0.113	0.148	0.368	core
MRPL50	RPL35A	0.302	0.109	0.092	0.071	0.194	0.39	core
MRPL50	RPL38	0.43	0.13	0.067	0.086	0.383	0.367	core
MRPL50	RPLP0	0.301	0.12	0.127	0.107	0.393	0.327	core
MRPL50	RPUSD3	0.309	0.21	0.484	0.036	0.423	0.173	core
MRPL50	RPUSD4	0.357	0.187	0.533	0.036	0.129	0.257	core
MRPL50	RTN4IP1	0.365	0.354	0.488	0.094	0.163	0.258	core
MRPL50	SCO2	0.311	0.2	0.462	0.016	0.062	0.201	core
MRPL50	SLC25A10	0.34	0.257	0.084	0.107	0.444	0.237	core
MRPL50	SSBP1	0.443	0.432	0.476	0.004	0.063	0.328	core
MRPL50	SUPV3L1	0.408	0.432	0.495	0.009	0.066	0.315	core
MRPL50	TARS2	0.355	0.313	0.502	0.074	0.061	0.264	core
MRPL50	TEFM	0.33	0.175	0.453	0.152	0.126	0.334	core
MRPL50	TFAM	0.401	0.252	0.54	0.092	0.062	0.345	core
MRPL50	TFB1M	0.388	0.353	0.501	0.01	0.203	0.327	core
MRPL50	TFB2M	0.379	0.282	0.474	0.081	0.1	0.318	core
MRPL50	TIMMDC1	0.359	0.133	0.521	0.09	0.095	0.236	core
MRPL50	TMEM242	0.341	0.02	0.496	0.036	0.044	0.185	core
MRPL50	TRMT10C	0.4	0.299	0.487	0.009	0.104	0.401	core
MRPL50	TRUB2	0.589	0.413	0.517	0.073	0.455	0.392	core
MRPL50	TUFM	0.335	0.438	0.397	0.003	0.133	0.331	core
MRPL50	TWNK	0.336	0.383	0.476	0.036	0.127	0.27	core
MRPL50	TXN2	0.382	0.354	0.463	0.005	0.065	0.24	core
MRPL50	UQCC2	0.307	0.378	0.369	0.123	0.057	0.31	core
MRPL50	UQCR10	0.346	0.257	0.453	0.015	0.076	0.216	core
MRPL50	UQCRB	0.386	0.364	0.483	0.007	0.066	0.232	core
MRPL50	UQCRC1	0.355	0.398	0.487	0.167	0.158	0.235	core
MRPL50	UQCRC2	0.383	0.411	0.497	0.01	0.161	0.292	core
MRPL50	UQCRFS1	0.44	0.421	0.48	0.128	0.135	0.293	core
MRPL50	UQCRQ	0.336	0.22	0.456	0.121	0.111	0.251	core
MRPL50	VARS2	0.323	0.311	0.466	0.036	0.056	0.185	core
MRPL50	WARS2	0.381	0.313	0.47	0.088	0.117	0.267	core
MRPL50	YARS2	0.473	0.418	0.476	0.001	0.441	0.305	core
MRPL51	MRPL52	0.547	0.306	0.319	0.007	0.477	0.435	core
MRPL51	MRPL53	0.697	0.549	0.461	0.001	0.513	0.404	core
MRPL51	MRPL54	0.695	0.451	0.487	0.012	0.514	0.371	core
MRPL51	MRPL55	0.508	0.49	0.441	0.005	0.423	0.322	core
MRPL51	MRPL57	0.613	0.527	0.469	0.001	0.469	0.339	core
MRPL51	MRPL58	0.676	0.575	0.374	0.134	0.594	0.404	core
MRPL51	MRPS2	0.561	0.49	0.485	0.07	0.337	0.266	core
MRPL51	MRPS5	0.588	0.493	0.509	0.014	0.309	0.308	core
MRPL51	MRPS6	0.517	0.489	0.468	0.105	0.351	0.253	core
MRPL51	MRPS7	0.679	0.542	0.49	0.078	0.35	0.481	core
MRPL51	MRPS9	0.442	0.508	0.41	0.003	0.396	0.351	core
MRPL51	MRPS10	0.455	0.41	0.48	0.004	0.309	0.297	core
MRPL51	MRPS11	0.498	0.269	0.538	0.002	0.191	0.481	core
MRPL51	MRPS12	0.473	0.467	0.495	0.006	0.067	0.329	core
MRPL51	MRPS14	0.302	0.259	0.392	0.008	0.342	0.355	core
MRPL51	MRPS15	0.429	0.439	0.315	0.005	0.177	0.519	core
MRPL51	MRPS16	0.547	0.46	0.474	0.008	0.161	0.454	core
MRPL51	MRPS17	0.362	0.23	0.456	0.006	0.157	0.373	core
MRPL51	MRPS18A	0.699	0.527	0.381	0.001	0.55	0.36	core
MRPL51	MRPS18B	0.579	0.501	0.471	0.135	0.195	0.314	core
MRPL51	MRPS18C	0.502	0.478	0.409	0.009	0.094	0.455	core
MRPL51	MRPS22	0.603	0.504	0.522	0.091	0.178	0.308	core
MRPL51	MRPS23	0.62	0.523	0.518	0.003	0.224	0.374	core
MRPL51	MRPS24	0.489	0.461	0.495	0.007	0.068	0.375	core
MRPL51	MRPS25	0.507	0.494	0.506	0.17	0.177	0.175	core
MRPL51	MRPS26	0.467	0.467	0.503	0.083	0.132	0.279	core
MRPL51	MRPS27	0.377	0.46	0.419	0.203	0.188	0.293	core
MRPL51	MRPS28	0.428	0.381	0.498	0.159	0.064	0.359	core
MRPL51	MRPS30	0.694	0.581	0.457	0.096	0.54	0.253	core
MRPL51	MRPS31	0.562	0.487	0.491	0.167	0.268	0.327	core
MRPL51	MRPS33	0.418	0.455	0.391	0.014	0.308	0.479	core
MRPL51	MRPS34	0.449	0.395	0.48	0.007	0.18	0.323	core
MRPL51	MRPS35	0.56	0.485	0.511	0.013	0.346	0.348	core
MRPL51	MRRF	0.339	0.385	0.431	0.003	0.068	0.282	core
MRPL51	MT-ATP6	0.39	0.393	0.005	0.092	0.003	0.273	core
MRPL51	MTERF3	0.383	0.417	0.507	0.016	0.204	0.271	core
MRPL51	MTERF4	0.402	0.389	0.503	0.089	0.066	0.175	core
MRPL51	MTG1	0.421	0.408	0.494	0.013	0.06	0.285	core
MRPL51	MTIF2	0.402	0.453	0.443	0.204	0.063	0.278	core
MRPL51	MTPAP	0.352	0.226	0.51	0.004	0.153	0.253	core
MRPL51	MTRF1L	0.336	0.175	0.479	0.01	0.055	0.176	core
MRPL51	MTX2	0.309	0.405	0.272	0.001	0.133	0.347	core
MRPL51	NARS2	0.321	0.358	0.445	0.082	0.051	0.192	core
MRPL51	NDUFA2	0.476	0.304	0.492	0.001	0.14	0.448	core
MRPL51	NDUFA3	0.3	0.312	0.418	0.008	0.108	0.342	core
MRPL51	NDUFA4	0.3	0.199	0.406	0.007	0.062	0.417	core
MRPL51	NDUFA6	0.417	0.392	0.475	0.015	0.129	0.349	core
MRPL51	NDUFA8	0.424	0.344	0.458	0.013	0.117	0.377	core
MRPL51	NDUFA9	0.436	0.327	0.46	0.134	0.123	0.417	core
MRPL51	NDUFA10	0.395	0.301	0.494	0.006	0.158	0.217	core
MRPL51	NDUFA11	0.45	0.256	0.458	0.016	0.024	0.435	core
MRPL51	NDUFAB1	0.43	0.434	0.07	0.005	0.066	0.452	core
MRPL51	NDUFAF1	0.391	0.329	0.469	0.073	0.125	0.286	core
MRPL51	NDUFAF2	0.328	0.345	0.07	0.081	0.102	0.432	core
MRPL51	NDUFAF3	0.377	0.403	0.438	0.009	0.026	0.303	core
MRPL51	NDUFAF4	0.447	0.403	0.419	0.122	0.062	0.376	core
MRPL51	NDUFAF5	0.428	0.321	0.488	0.0	0.059	0.354	core
MRPL51	NDUFB1	0.309	0.3	0.157	0.01	0.129	0.426	core
MRPL51	NDUFB2	0.424	0.001	0.436	0.097	0.005	0.406	core
MRPL51	NDUFB3	0.456	0.337	0.451	0.005	0.059	0.425	core
MRPL51	NDUFB4	0.41	0.305	0.424	0.09	0.131	0.385	core
MRPL51	NDUFB5	0.418	0.402	0.467	0.181	0.126	0.353	core
MRPL51	NDUFB6	0.478	0.308	0.482	0.003	0.118	0.432	core
MRPL51	NDUFB8	0.437	0.318	0.503	0.003	0.135	0.381	core
MRPL51	NDUFB9	0.45	0.336	0.462	0.004	0.06	0.398	core
MRPL51	NDUFB10	0.453	0.416	0.461	0.012	0.06	0.358	core
MRPL51	NDUFC1	0.433	0.051	0.484	0.015	0.002	0.411	core
MRPL51	NDUFC2	0.428	0.285	0.458	0.001	0.051	0.401	core
MRPL51	NDUFS1	0.408	0.401	0.458	0.076	0.128	0.214	core
MRPL51	NDUFS2	0.447	0.445	0.485	0.001	0.136	0.268	core
MRPL51	NDUFS3	0.398	0.249	0.463	0.094	0.111	0.365	core
MRPL51	NDUFS4	0.324	0.324	0.145	0.118	0.123	0.38	core
MRPL51	NDUFS5	0.444	0.341	0.502	0.01	0.108	0.386	core
MRPL51	NDUFS7	0.37	0.326	0.469	0.015	0.062	0.252	core
MRPL51	NDUFS8	0.512	0.482	0.452	0.093	0.144	0.331	core
MRPL51	NDUFV1	0.336	0.374	0.421	0.005	0.128	0.256	core
MRPL51	NDUFV2	0.423	0.356	0.475	0.015	0.118	0.357	core
MRPL51	NEDD8	0.406	0.097	0.037	0.071	0.133	0.448	core
MRPL51	NGRN	0.378	0.144	0.452	0.036	0.436	0.239	core
MRPL51	NOA1	0.34	0.22	0.469	0.11	0.049	0.234	core
MRPL51	NOP10	0.345	0.316	0.225	0.096	0.145	0.442	core
MRPL51	NSUN4	0.453	0.499	0.454	0.013	0.1	0.197	core
MRPL51	PARK7	0.319	0.144	0.061	0.15	0.133	0.523	core
MRPL51	PARS2	0.363	0.353	0.453	0.036	0.041	0.22	core
MRPL51	PDSS1	0.324	0.185	0.469	0.008	0.057	0.241	core
MRPL51	PDSS2	0.351	0.17	0.485	0.08	0.055	0.143	core
MRPL51	PHB	0.347	0.425	0.022	0.009	0.121	0.357	core
MRPL51	PMPCA	0.303	0.45	0.153	0.008	0.051	0.219	core
MRPL51	PNPT1	0.366	0.376	0.422	0.181	0.068	0.301	core
MRPL51	POLG	0.3	0.25	0.474	0.17	0.101	0.168	core
MRPL51	POLG2	0.401	0.433	0.488	0.013	0.116	0.167	core
MRPL51	POLRMT	0.313	0.354	0.41	0.089	0.124	0.198	core
MRPL51	PTCD3	0.57	0.513	0.457	0.089	0.33	0.339	core
